customer_id,name,email_address,phone,city,join_date,title,first_name,last_name,suffix,street,country,state,zip_code,mobile,card_number,credit_card_exp_year,credit_card_exp_month,cvv
CUST-10000,Samuel Tailor,tailorhemani@example.net,910495529822,Dubai,1/23/2024,Mrs,Samuel,Tailor,Sr,Jumeirah Beach Road,United Arab Emirates,Dubai,0,910495529822.00,1396066392279610,2028,8,928
CUST-10001,Megha Thakur,rrege@example.com,912185861941,Abu Dhabi,8/8/2024,Mrs,Megha,Thakur,,Sheikh Rashid Bin Saeed Street ,United Arab Emirates,Abu Dhabi,0,912185861941.00,6872533725401250,2029,7,989
CUST-10002,Girik Chana,wkalita@example.net,912363870199,Sharjah,12/22/2024,Ms,Girik,Chana,III,Al Arouba Street,United Arab Emirates,Sharjah,0,912363870199.00,9128983004706510,2029,1,899
CUST-10003,Parth Dara,dhargaurang@example.com,08423567044,Sharjah,12/24/2025,,Parth,Dara,,Al Arouba Street,United Arab Emirates,Sharjah,0,08423567044,4651867372562620,2026,9,682
CUST-10004,Nisha Chadha,chanchal42@example.org,08957505899,Ajman,4/5/2025,Ms,Nisha,Chadha,Esq,Sheikh Ammar Bin Humaid Al Nuaimi Street,United Arab Emirates,Ajman,0,08957505899,7546126610063060,2026,11,970
CUST-10005,Aradhana Varkey,sanayapadmanabhan@example.com,913060755954,Ajman,11/20/2024,Ms,Aradhana,Varkey,,Ajman Corniche Road,United Arab Emirates,Ajman,0,913060755954.00,8485919523112980,2028,10,449
CUST-10006,Qarin Kalita,ibedi@example.com,8590609378,Dubai,11/4/2025,Miss,Qarin,Kalita,MD,2nd of December Street,United Arab Emirates,Dubai,0,8590609378.00,6796448359541110,2033,8,780
CUST-10007,Rehaan Kulkarni,umangahuja@example.com,01599917289,Sharjah,1/14/2024,Ms,Rehaan,Kulkarni,MD,Sheikh Mohammed Bin Zayed Road,United Arab Emirates,Sharjah,0,01599917289,9060301956494410,2031,9,795
CUST-10008,Nirja Ghosh,dayalatharv@example.org,08362161821,Ajman,4/22/2025,Mrs,Nirja,Ghosh,DDS,Sheikh Ammar Bin Humaid Al Nuaimi Street,United Arab Emirates,Ajman,0,08362161821,1168950569190280,2032,1,292
CUST-10009,Sathvik Walla,yamini96@example.org,916348303484,Dubai,5/16/2024,Ms,Sathvik,Walla,III,Sheikh Mohammed bin Rashid Boulevard,United Arab Emirates,Dubai,0,916348303484.00,7440647969904630,2030,8,760
CUST-10010,Hardik Bhardwaj,saininihal@example.com,0844092427,Sharjah,7/18/2024,,Hardik,Bhardwaj,III,Al Wahda Street,United Arab Emirates,Sharjah,0,0844092427,4167271787442380,2035,6,949
CUST-10011,Harish Kunda,shivansh58@example.net,913566143807,Dubai,5/20/2025,Dr,Harish,Kunda,Jr,Al Seef Street,United Arab Emirates,Dubai,0,913566143807.00,2475420889887880,2029,5,682
